1,Водитель,4,Не пострадал,мужчина,Нет (не скрывался),1,1
2,Пешеход,,"Раненый, находящийся (находившийся) на стационарном лечении",женщина,Нет (не скрывался),,1
3,Водитель,22,Не пострадал,мужчина,Нет (не скрывался),2,2
4,Водитель,28,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),3,2
5,Водитель,,"",,Скрылся и впоследствии не установлен,4,3
6,Пешеход,,"Раненый, находящийся (находившийся) на стационарном лечении",женщина,Нет (не скрывался),,3
7,Водитель,9,Скончался в течение 1 суток,мужчина,Нет (не скрывался),5,4
8,Водитель,1,Не пострадал,женщина,Нет (не скрывался),6,5
9,Пешеход,,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",женщина,Нет (не скрывался),,5
10,Водитель,10,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),7,6
11,Пассажир,,"Раненый, находящийся (находившийся) на стационарном лечении",мужчина,Нет (не скрывался),8,7
12,Водитель,13,"Раненый, находящийся (находившийся) на стационарном лечении",мужчина,Нет (не скрывался),8,7
13,Водитель,17,Не пострадал,женщина,Нет (не скрывался),9,7
14,Водитель,7,Не пострадал,мужчина,Нет (не скрывался),10,8
15,Пассажир,,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",женщина,Нет (не скрывался),11,8
16,Водитель,5,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),11,8
17,Водитель,35,Не пострадал,мужчина,Нет (не скрывался),12,9
18,Пешеход,,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",женщина,Нет (не скрывался),,9
19,Водитель,30,Не пострадал,мужчина,Нет (не скрывался),13,10
20,Пешеход,,"Раненый, находящийся (находившийся) на стационарном лечении",мужчина,Нет (не скрывался),,10
21,Водитель,38,Не пострадал,мужчина,Нет (не скрывался),14,11
22,Водитель,26,Скончался в течение 21 суток,мужчина,Нет (не скрывался),15,11
23,Пассажир,,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",женщина,Нет (не скрывался),16,12
24,Водитель,16,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),16,12
25,Водитель,,"",,Скрылся и впоследствии не установлен,17,12
26,Водитель,17,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),18,12
27,Водитель,,"",,Скрылся и впоследствии не установлен,19,13
28,Пешеход,,"Раненый, находящийся (находившийся) на стационарном лечении",мужчина,Нет (не скрывался),,13
29,Водитель,4,Не пострадал,женщина,Нет (не скрывался),20,14
215,Водитель,95,Скончался на месте ДТП до приезда скорой медицинской помощи,мужчина,Нет (не скрывался),162,86
216,Водитель,1,Не пострадал,женщина,Нет (не скрывался),163,86
30,Водитель,5,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",женщина,Нет (не скрывался),21,14
31,Водитель,32,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),22,15
32,Водитель,8,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),23,15
33,Водитель,6,Не пострадал,мужчина,Нет (не скрывался),24,16
34,Водитель,11,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",женщина,Нет (не скрывался),25,16
35,Водитель,7,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",мужчина,Нет (не скрывался),26,17
36,Водитель,2,Не пострадал,мужчина,Нет (не скрывался),27,17
37,Водитель,96,Скончался в течение 1 суток,мужчина,Нет (не скрывался),28,18
38,Водитель,14,Не пострадал,мужчина,Нет (не скрывался),29,18
39,Водитель,17,Не пострадал,мужчина,Нет (не скрывался),30,19
